University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
Grand Valley State University,Students for Justice in Palestine - GVSU,Active,SJP,https://www.instagram.com/sjpgvsu/,,
Green Mountain College,SJP,Inactive,SJP,https://www.facebook.com/sjpgmc/,,
Grinnell College,SJP,Active,SJP,https://www.instagram.com/sjp_grinnell/,,
Guilford College,SJP,Inactive,SJP,https://www.facebook.com/GuilfordCollegeStudentsForJusticeInPalestine/,,
Hampshire College,SJP,Inactive,SJP,https://www.instagram.com/hampshirecollegesjp/,https://www.facebook.com/Hampshire-College-Students-for-Justice-in-Palestine-453368798191253/,
Harvard University,Palestine Solidarity Committee,Active,SJP,https://www.facebook.com/psc.harvard,https://www.instagram.com/harvardpsc/,
Harvard University,Harvard Law School Justice for Palestine,Inactive,SJP,https://www.facebook.com/Harvard-Law-School-Justice-for-Palestine-530233190475864/,,
Harvard University,The Palestine Caucus at HKS,Inactive,SJP,https://www.facebook.com/Palestine-Caucus-462340094287944/,,
Harvard University,Harvard Jewish Coalition for Peace,Inactive,Other,https://www.facebook.com/Harvard-Jewish-Coalition-for-Peace-101581508089863/,,
Harvard University,Harvard Out of Occupied Palestine,Inactive,Other,https://www.facebook.com/harvardoop/,https://www.instagram.com/harvardoop/,
Harvard University,Harvard Endowment Justice Coalition,Inactive,Divest,https://www.facebook.com/events/656574211804050/,,
Harvard University,Harvard Graduate Students 4 Palestine,Active,Other,https://www.instagram.com/harvardgs4p/,,
Harvard University,Harvard BDS (Rank and file Harvard Graduate Student Union members organizing for BDS),Active,Faculty,https://www.instagram.com/bdsharvard/,,
Harvard University,Harvard Jews for Palestine,Active,JVP,https://www.instagram.com/harvardj4p/,,
Haverford College,Bi-Co Students for Justice in Palestine,Active,SJP,https://www.instagram.com/sjpbico/,https://www.facebook.com/bicosjp/,
Haverford College,Bi-Co JVP,Active,JVP,https://www.instagram.com/bicojvp/,,
Hofstra University,SJP,Inactive,SJP,https://www.facebook.com/Students-for-Justice-in-Palestine-at-Hofstra-University-288412367949350/,,
Howard University,SJP,Active,SJP,https://www.instagram.com/sjphowardu/,,
Illinois Institute of Technology,SJP,Active,SJP,https://www.instagram.com/sjpiit/,https://www.facebook.com/sjp.iit/,
Indiana University Bloomington,Palestine Solidarity Committee at IU,Inactive,SJP,https://www.facebook.com/PSCatIU/,https://www.instagram.com/psc_iu/,
Indiana University Bloomington,MESA,Active,Other,https://www.instagram.com/mesaiub/,,
Indiana University Purdue University Fort Wayne,SJP,Inactive,SJP,https://www.facebook.com/groups/SJPFortWayne/about/,,
Indiana University Purdue University Indianapolis (IUPUI),SJP,Inactive,SJP,https://www.instagram.com/sjp_iupui/,,
Indiana University Purdue University Indianapolis (IUPUI),Interfaith Coalition for Palestine IUPUI,Inactive,Other,https://www.facebook.com/InterfaithCoalitionforPalestine/,,
Indiana University Purdue University Indianapolis (IUPUI),Indiana Palestine Solidarity,Active,Other,https://www.facebook.com/IndianaPalestineSolidarity/,,
Indiana University Purdue University Indianapolis (IUPUI),IUPUI Faculty and Staff for Justice in Palestine,Inactive,Faculty,https://iupuifacultystaff4palestine.wordpress.com/,,
Indiana University of Pennsylvania,Penn Chavurah,Active,Other,https://www.instagram.com/pennchavurah/,https://www.instagram.com/p/CxTPRvEOisp/,
Irvine Valley College,SJP,Active,SJP,https://www.instagram.com/sjpativc/,,
Ithaca College,SJP,Inactive,SJP,https://www.facebook.com/ICSJP/,,
John Carroll University,SJP,Active,SJP,https://www.instagram.com/sjpjcu/,,
John Carroll University,Black Students in Action,Active,Other,https://www.instagram.com/jcubsa/,,
Johns Hopkins University,SJP,Active,SJP,https://www.facebook.com/hopkinssjp/,https://www.instagram.com/sjphopkins/,
