University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
Earlham College,BDS Earlham,Inactive,Divest,https://www.facebook.com/BDSEarlham,,
Eastern Michigan University,SJP,Inactive,SJP,https://www.facebook.com/EMUS4JP/,https://www.instagram.com/emusjp/,
Emerson College,SJP,Active,SJP,https://www.instagram.com/sjpemerson/,,
Emerson College,Democratic Socialists of America,Active,Other,https://www.instagram.com/dsa.emerson/,,
Emmanuel College,MSA,Inactive,Other,https://www.facebook.com/Emmanuel-College-MSA-1806273622726823/,,
Emory University,SJP,Active,SJP,https://www.facebook.com/sjpemoryuniversity,https://www.instagram.com/emory.sjp/,
Emory University,Emory Stop Cop City,Active,Other,https://www.instagram.com/emorystopcopcity/,,
Evergreen State College,SJP,Inactive,SJP,https://www.facebook.com/TESCSJP,,
Evergreen State College,TESC Divest,Inactive,Divest,https://tescdivest.blogspot.com/,,
Florida Atlantic University,SJP,Inactive,SJP,https://www.instagram.com/sjpfau/,,
Florida International University,SJP,Inactive,SJP,https://www.facebook.com/sjp.fiu/,https://www.instagram.com/sjpatfiu/,
Florida International University,Young Democratic Socialists of America,Active,Other,https://www.facebook.com/ydsafiu/,https://www.instagram.com/ydsafiu/,
Florida State University,SJP,Active,SJP,https://www.instagram.com/fsusjp/,https://www.facebook.com/FSUSJP/,
Florida State University,Students United for Justice in Palestine,Inactive,SJP,https://www.facebook.com/groups/SUJPFSU/,,
Florida State University,Students for a Democratic Society,Active,Other,https://twitter.com/FSUSDS,https://www.instagram.com/fsusds/,
Fordham University,SJP,Active,SJP,https://www.instagram.com/fordhamsjp/,,
Fordham University,Fordham Palestine Solidarity Network,Active,SJP,https://www.instagram.com/fordhampsn/,,
Fordham University,Fordham Grad SJP,Active,SJP,https://www.instagram.com/fordham_grad_sjp/,,
Fordham University,Fordham Law NLG,Active,Other,https://www.instagram.com/fordhamlaw.nlg/,,
Fordham University,Graduate SJP at Fordham University,Active,SJP,https://www.instagram.com/fordham_grad_sjp/,,
George Mason University,SAIA,Inactive,SJP,https://www.facebook.com/GMUSAIA/,https://www.instagram.com/gmusaia/,
George Mason University,GMU Muslim-Jewish Alliance,Inactive,Other,https://www.facebook.com/permalink.php?story_fbid=1667286426900692&id=1659189631043705,,
George Mason University,JVP,Inactive,JVP,https://www.facebook.com/JVPMason/,,
George Mason University,DAWAH,Inactive,Other,https://www.facebook.com/gmudawah/,,
George Mason University,SJP,Active,SJP,https://www.instagram.com/sjp.mason/,https://www.facebook.com/groups/2200115548,
George Mason University,GMU Pride Alliance,Active,Other,https://www.instagram.com/p/CcLSFymumA3/,,
George Mason University,GMU Coalition for Palestine,Active,Other,https://www.instagram.com/gmu4palestine/,,
George Washington University,JVP,Active,JVP,https://www.facebook.com/JVPGW/,https://www.instagram.com/jvpgwu/,
George Washington University,SJP,Active,SJP,https://www.facebook.com/SJPatGWU/,https://www.instagram.com/gwusjp/,https://www.instagram.com/gwusjp2/
George Washington University,GW Law Students for Justice in Palestine,Active,SJP,https://www.facebook.com/GW-Law-Students-for-Justice-in-Palestine-114954270204745,,
George Washington University,Students Against Imperialism,Active,Other,https://www.instagram.com/gwusai/,,
George Washington University,GW Black Defiance,Active,Other,https://www.instagram.com/gwblackdefiance/,,
George Washington University,Student Coalition for Palestine at GWU,Active,SJP,https://www.instagram.com/gwuscpalestine/,,
Georgetown University,SJP,Active,SJP,https://www.instagram.com/sjpgeorgetown/,https://www.facebook.com/GeorgetownSJP/,
Georgetown University,Law SJP,Active,SJP,https://www.instagram.com/lsjpgeorgetown/,,
Georgetown University,Georgetown Forming a Radically Ethical Endowment (Georgetown F.R.E.E),Inactive,Other,https://gufreeorg.wordpress.com/,,
Georgetown University,JVP Georgetown,Active,JVP,https://www.instagram.com/jvpgeorgetown/,,
Georgetown University,GT Med Students 4 Palestine,Active,Other,https://www.instagram.com/gums4palestine/,,
Georgetown University,Georgetown Jewish Students for Justice,Active,JVP,https://www.instagram.com/gulc.jsj/,,
Georgetown University,Zeytoun: A SWANA Alliance,Active,Other,https://www.instagram.com/zeytoungu/,,
Georgetown University,Georgetown Faculty and Staff for Justice in Palestine (FSJP),Active,Faculty,https://www.instagram.com/georgetownfsjp,,
Georgia Institute of Technology,Muslim Student Association,Active,Other,https://www.instagram.com/gatechmsa/,https://nique.net/news/2023/02/19/tech-msa-holds-event-on-palestinian-awareness/,
Georgia State University,SJP,Active,SJP,https://www.instagram.com/gsusjp/,https://www.facebook.com/sjp.gsu,
Goucher College,SJP,Inactive,SJP,none,,
Goucher College,TALQ BIG,Inactive,Other,https://www.facebook.com/gouchertalqbig/,,
Governors State University,Governors State SJP,Active,SJP,https://www.instagram.com/govstatesjp/,,
