University,Academic Boycotter Name,Auto Increment
CUNY Brooklyn College,Stephanie Love,2474
CUNY Brooklyn College,Timothy Shortell,2476
CUNY Brooklyn College,Yana Kuchirko,2477
CUNY Brooklyn College,Immanuel Ness,4213
CUNY Brooklyn College,Ana Djordjevic,4269
CUNY Brooklyn College,Carolina Bank Muñoz,4337
CUNY Brooklyn College,Christa Paterline,4359
CUNY Brooklyn College,Derek Ludovici,4400
CUNY City College,Ali C. Hocek,2478
CUNY City College,Bernardo Oliveira,2479
CUNY City College,Farideh Sakhaeifar,2480
CUNY City College,Ibrahim Habib,2481
CUNY City College,James Biles,2483
CUNY City College,Jorge Sanchez Diaz,2484
CUNY City College,Nandini Bagchee,2485
CUNY City College,Nancy Stern,3669
CUNY City College,Pamela Jean Stemberg,3789
CUNY City College,Diana B. Greenwald,4219
CUNY City College,Andréa Stellap,4278
CUNY College of Staten Island,Matt Brim,283
CUNY College of Staten Island,Saadia Toor,2224
CUNY College of Staten Island,Alexander Zevin,2487
CUNY College of Staten Island,Ananya Mukherjea,2488
CUNY College of Staten Island,Christopher Santiago,2489
CUNY College of Staten Island,Elizabeth Kane,2490
CUNY College of Staten Island,Ellen Goldner,2491
CUNY College of Staten Island,Emma Hedditch,2492
CUNY College of Staten Island,H. Ege Ozen,2494
CUNY College of Staten Island,Hosu Kim,2495
CUNY College of Staten Island,Jacob Collins,2496
CUNY College of Staten Island,James Hession,2497
CUNY College of Staten Island,Jay Arena,2498
CUNY College of Staten Island,Jean Halley,2499
CUNY College of Staten Island,Michael Paris,2501
CUNY College of Staten Island,Ozlem Goner,2502
CUNY College of Staten Island,Philippe Marius,2503
CUNY College of Staten Island,Sarah Pollack,2505
CUNY College of Staten Island,Sohomjit Ray,2506
CUNY College of Staten Island,Tara Mateik,2507
CUNY College of Staten Island,Valerie Tevere,2508
CUNY College of Staten Island,Artemida Tesho,2509
CUNY College of Staten Island,Natalie Kimball,2510
CUNY College of Staten Island,Sherry Millner,2512
CUNY College of Staten Island,Kenn Vance,3790
CUNY College of Staten Island,Thomas Volscho,4189
CUNY College of Staten Island,Alyson Bardsley,4258
CUNY College of Staten Island,Anne Adkison,4290
CUNY College of Staten Island,Bilge Yesil,4317
CUNY College of Staten Island,David Allen,4391
CUNY Craig Newmark Graduate School of Journalism,Jessica Bal,3686
CUNY Guttman Community College,Vivian Lim,2513
CUNY Guttman Community College,Samuel Finesurrey,2514
CUNY Guttman Community College,Andrea Morrell,4276
CUNY Hostos Community College,Marcelo D. Viana Neto,2516
CUNY Hostos Community College,Maria del Carmen Inda Garcia,2517
CUNY Hostos Community College,Melvin Huffnagle,2518
CUNY Hostos Community College,Michael Cisco,2519
CUNY Hostos Community College,Natasha Lorca Yannacanedo,2520
CUNY Hostos Community College,Pamela Jean Stemberg,2521
CUNY Hostos Community College,Soheli Chowdhury,2522
