University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
"Montana State University, Billings","1500 University Dr Billings, MT 59101",1500 University Dr,,Billings,MT,59101,,45.79674,-108.5213,146,West,Montana
Montana State University Bozeman,"201 Strand Union Building, W Grant Street Bozeman, MT 59717","201 Strand Union Building, W Grant Street",,Bozeman,MT,59717,,45.66539,-111.04057,445,West,Montana
Montclair State University,"1 Normal Ave Montclair, NJ 7043",1 Normal Ave,,Montclair,NJ,7043,,40.85737,-74.19842,147,Northeast,New Jersey
Montgomery College,"9221 Corporate Blvd Rockville, MD 20850",9221 Corporate Blvd,,Rockville,MD,20850,,39.10788,-77.19106,630,South,Maryland
Moorpark College,"7075 Campus Rd Moorpark, CA 93021",7075 Campus Rd,,Moorpark,CA,93021,,34.30149,-118.83209,687,West,California
Moraine Valley Community College,"9000 College Pkwy Palos Hills, IL 60465",9000 College Pkwy,,Palos Hills,IL,60465,,41.69,-87.83726,719,Northeast,Illinois
Moravian College,"1200 Main St Bethlehem, PA 18018",1200 Main St,,Bethlehem,PA,18018,,40.63017,-75.38127,563,Northeast,Pennsylvania
Morehouse College,"830 Westview Drive, SW Atlanta, GA 30314","830 Westview Drive, SW",,Atlanta,GA,30314,,33.746449,-84.415239,148,South,Georgia
Morgan State University,"1700 E Cold Spring Ln Baltimore, MD 21251",1700 E Cold Spring Ln,,Baltimore,MD,21251,,39.345955,-76.585925,446,South,Maryland
Mount Mercy University,"1330 Elmhurst Dr NE Cedar Rapids, IA 52402",1330 Elmhurst Dr NE,,Cedar Rapids,IA,52402,,42.00254,-91.65207,149,Midwest,Iowa
Mt. Holyoke College,"50 College St South Hadley, MA 1075",50 College St,,South Hadley,MA,1075,,42.25648,-72.57623,377,Northeast,Massachusetts
Mt. San Antonio College,"1100 N Grand Ave Walnut, CA 91789",1100 N Grand Ave,,Walnut,CA,91789,,34.04832,-117.842,150,West,California
Mt. San Jacinto College,"1499 N. State St. San Jacinto, CA 92583",1499 N. State St.,,San Jacinto,CA,92583,,33.80719,-116.97195,151,West,California
Muhlenberg College,"400 Chew St. Allentown, PA 18104",400 Chew St.,,Allentown,PA,18104,,40.60797,-75.467613,152,Northeast,Pennsylvania
Nassau Community College,"1 Education Dr, Garden City, NY 11530","1 Education Dr,",,Garden City,NY,11530,,40.72982,-73.59239,153,Northeast,New York
Nazareth College,"4245 East Avenue Rochester, NY 14618",4245 East Avenue,,Rochester,NY,14618,,43.10198,-77.51966,484,Northeast,New York
New Jersey Institute of Technology,"323 Dr Martin Luther King Jr Blvd Newark, NJ 7102",323 Dr Martin Luther King Jr Blvd,,Newark,NJ,7102,,40.74287,-74.17632,447,Northeast,New Jersey
New Mexico State University,"1780 E University Ave Las Cruces, NM 88003",1780 E University Ave,,Las Cruces,NM,88003,,32.28587,-106.744058,448,West,New Mexico
New York University,"383 Lafayette St New York, NY 10003",383 Lafayette St,,New York,NY,10003,,40.72763,-73.99312,154,Northeast,New York
Nicholls State University,"906 E 1st St Thibodaux, LA 70301",906 E 1st St,,Thibodaux,LA,70301,,29.79548,-90.80122,631,South,Louisiana
North Carolina Agricultural and Technical State University,"1601 E Market St Greensboro, NC 27411",,1601 E Market St,Greensboro,NC,27411,,36.07232,-79.77277,578,South,North Carolina
